type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
003f3e6fc1634f4fc95c9a2e80bcf1fa,-0.0034531124,0.033365462,-0.09696033,0.06694723,0.08356812,0.10775765,-0.06667671,0.005683664,-0.023102522,0.00030670414,-0.0410582,0.17493337,0.016004037,-0.09773824,-0.023780359,0.020139825,-0.0055676405,-0.009663471,-0.050335173,0.025671758,-0.09679146,0.0058171065,0.010743759,-0.07499052,-0.034879375,-0.0464427,0.09353765,-0.07766109,0.039465692,-0.011836524,-0.026049854,-0.027576096,-0.08124773,-0.05806114,-0.070096165,-0.01582779,-0.027400553,-0.024834773,-0.011486692,-0.012545712,-0.026915304,-0.010424353,0.0874219,0.010436276,-0.07022475,0.023094246,0.022585884,0.043579675,0.055095807,-0.08116423,0.017701702,-0.051697884,-0.1231624,0.014558513,-0.026507087,0.029948145,0.07078795,0.07060474,0.031826317,0.00390679,-0.046880715,0.0878968,0.010588654,-0.019632312,-0.00884105,0.099290736,0.047467828,0.08849157,0.049534585,0.030879904,-0.0092414655,-0.11168461,-0.100882486,-0.116867915,-0.053991403,0.022329682,-0.037550736,-0.09212123,0.06581713,-0.06057552,0.05597367,0.04660598,-0.104371876,-0.05594203,0.007423026,0.07515585,-0.007620547,-0.022334082,0.042443447,-0.026537998,0.019078314,0.05350575,-0.04477693,-0.10324186,-0.15107106,0.10341037,-0.03982723,-0.06781623,-0.0011061006,-0.08470234,-0.10256854,0.006215396,0.037831653,0.04693625,0.0100117875,0.0739503,-0.007739037,0.08929086,0.07403074,0.027818998,0.014907376,-0.06426471,-0.08700281,-0.03983393,-0.034059122,-0.09837882,-0.051677946,-0.02033274,0.13073139,-0.0117190415,0.06554551,0.010181655,-0.018006498,0.12647855,-0.09526443,0.012818286,-0.083261,-0.007949386
003f7e2a32d6132d74bd1eafc793b6c1,-0.345223,-0.18160827,-0.22426805,0.29808822,0.120637365,-0.0010717486,-0.3508233,-0.063215956,-0.39890093,-0.15664664,0.0010041444,-0.019268135,-0.20718507,0.1261525,0.092875116,-0.5274235,0.14592949,0.23441081,-0.30385932,0.0687515,-0.25931504,-0.15627648,-0.088279195,0.36053646,0.27294463,-0.06692097,-0.37262458,-0.17990172,0.3460502,-0.6912299,0.27393332,0.18085954,-0.041261695,0.014121171,-0.14847422,0.34142274,-0.04520128,-0.13725904,-0.104700156,-0.18604816,-0.19341286,-0.09669722,0.057831675,-0.3422466,0.19188893,-0.1842476,0.1990556,-0.08607784,0.15608636,-0.377574,0.0617313,-0.049452923,-0.07548586,-0.26976445,-0.09188744,0.4697807,-0.25382116,-0.025751125,-0.39699823,0.4168262,0.058197115,0.27015305,0.043680917,-0.4243807,-0.029935457,-0.005843664,0.40596282,0.08616511,-0.107539885,-0.09328068,-0.5031112,-0.2855162,-0.27352214,-0.13505913,-0.1873412,0.071595624,-0.24328,-0.41894287,-0.08404346,0.16068396,0.15911743,0.25802124,-0.033898134,0.2200139,0.24613859,-0.073696874,0.045397505,-0.31820583,0.41841736,0.1502036,-0.037741307,-0.06910925,-0.2805486,-0.4268287,-0.054786697,-0.033584155,0.23585263,-0.14160231,0.5796397,-0.030481918,0.11681736,-0.15567654,0.018422594,-0.018012773,-0.590908,-0.1307657,-0.14344864,-0.029175546,0.39340773,0.057109658,-0.042933587,-0.02329414,-0.01149546,-0.25314462,0.2568629,-0.183395,-0.3712311,-0.090165585,-0.15584674,0.2904841,0.41190687,0.18077146,-0.29321375,0.033699755,-0.40068638,-0.1660624,-0.12574416,0.13650607
004b3dc6622a2a9374f6c289faf52d92c014452076d83648adf8e09d9ac82512,-0.024580898,-7.3896095e-05,-0.09585646,0.07296565,0.048308045,0.010213198,-0.07166695,-0.04635231,-0.042600717,0.04651565,-0.03764723,0.10840757,-0.028261935,-0.046958454,-0.0034030117,-0.027222384,-0.027296904,0.01621616,-0.08204482,0.0092225075,-0.044467222,0.024619402,0.002235989,-0.018841162,-0.0018602321,-0.036096886,0.027149512,-0.09509821,0.019081611,-0.013432837,0.0041833483,0.015913842,-0.05402605,-0.040479653,0.014741612,0.015451362,-0.0016715827,-0.036687776,-0.013176433,0.008350653,-0.031810783,-0.002364155,0.038273994,0.013331674,-0.045403507,-0.032558788,0.020605385,0.0009251129,0.029012736,-0.035404865,-0.013447054,-0.05011109,-0.090899825,-0.019167403,-0.009633139,0.035108417,0.0108700115,0.034490135,0.02725304,-0.004408292,-0.06808458,0.07113606,0.03229558,0.011040274,0.015724977,0.028082753,0.030247327,0.0066611166,0.023970552,-0.041689593,-0.00095005357,-0.052985065,-0.0796211,-0.074705735,-0.054746673,0.022531113,-0.020574013,-0.052600976,0.053307135,-0.03317833,0.07611035,0.058436397,-0.07371387,-0.035883233,0.035051785,0.017298594,0.05351484,-0.018158646,0.02176971,-0.008558201,-0.0041239928,0.06849118,-0.06317349,-0.10723437,-0.08168348,0.05626833,0.0082863085,-0.04005753,-0.014106536,-0.022539401,-0.03259045,-0.017274674,-0.0125865545,0.032147326,-0.006596887,0.020575473,0.0009606129,0.048683666,0.036238033,0.0028730691,0.03319563,-0.034056585,-0.042594984,-0.043981567,0.02419119,-0.045029465,-0.018409241,-0.009564238,0.053367265,0.039743546,0.042744268,0.0458394,-0.012722374,0.05196019,-0.036226224,0.049542576,-0.04582655,0.0032207393
0064bd63e7337da6616b0d6adb03ca99,0.0520963,0.13511765,-0.009180523,-0.01657747,0.14201969,0.16932581,-0.14872238,0.06724435,0.13353147,-0.10502438,-0.066125385,0.16954073,0.08990834,-0.19779864,0.06157017,-0.015760109,-0.022529807,-0.08438947,-0.07235717,0.14541759,-0.10690034,-0.0126882745,0.060880125,-0.14334357,-0.14653984,-0.08305455,0.06665453,0.048177995,0.08357416,-0.022354698,-0.10849289,-0.09704351,0.056625966,-0.04793821,-0.07810473,-0.06332414,-0.0162786,-0.044982746,-0.10588945,-0.062501065,0.0025139544,0.00060175057,0.12689467,0.095200956,-0.11338413,0.14735237,0.09130748,0.0657148,0.03153078,-0.030538227,0.056000587,-0.08242713,0.0052139987,0.13078529,-0.07722694,0.110934965,-0.0067724125,0.11097562,0.0062738885,0.06453453,-0.02983186,0.04340944,-0.0938562,-0.09119055,-0.028108057,0.13401945,0.012621605,0.06821201,0.06174977,0.030505909,0.06867667,-0.066667475,-0.11369949,-0.095911324,0.08763165,-0.046768293,0.09339964,-0.09476227,0.07550933,-0.1939696,0.05627641,0.031238005,-0.031060116,-0.08404353,-0.10401879,0.09957613,-0.08287177,-0.022092814,0.062100448,0.07404313,0.14395607,-0.07126379,0.04860108,-0.043632656,-0.13453916,0.011975105,-0.10199268,-0.088106215,0.045969177,-0.13912123,-0.096723475,-0.03637703,0.11866488,0.03429092,0.0523657,0.119934,0.022041883,0.09046219,0.054020707,-0.1059489,0.021664692,-0.10155564,-0.11476331,-0.00069532864,-0.054983944,-0.058931634,-0.095986806,-0.060744595,0.17777324,-0.13185322,-0.11609818,0.04972597,-0.048153657,0.11056409,-0.07701906,-0.05822365,0.035036363,-0.08419337
009ed622bf936a036828fab19ceb69d78264ab51507396a3809bbe947ddd9ddf,-0.064330466,-0.039415054,-0.087358505,0.07991785,0.0336007,-0.05944474,-0.0802798,-0.08991623,-0.06956993,0.058537964,-0.014573594,0.07089923,-0.061174136,-0.010183994,-0.0018566822,-0.07272377,-0.028457599,0.034654576,-0.09560626,-0.030756231,-0.033830862,0.06113486,-0.030397099,0.03993871,0.0004302021,-0.05634621,-0.061283607,-0.09013038,0.009839186,-0.035196263,0.00010281371,0.039764646,-0.006159725,-0.029722657,0.048520457,0.013605979,0.026391834,-0.037430234,-0.030141857,0.027774127,0.0014012002,-0.04457291,0.046805594,-0.010450589,-0.032914933,-0.063564174,0.0044539394,-0.010500701,0.01430843,-0.007541393,-0.029919105,-0.021533072,-0.05953165,-0.03894215,0.002069757,0.083885655,-0.03084747,0.03915385,-0.004686071,0.010281458,-0.049297426,0.056948263,0.026554937,0.039830126,0.018756941,-0.03947381,0.022775304,-0.013488385,-0.010352956,-0.10218338,-0.031109905,0.020779844,-0.06721597,-0.04418792,-0.039914776,0.00537089,-0.009859121,-0.049982194,0.06722795,-0.019380864,0.083390504,0.039233778,-0.06447923,-0.0064090467,0.058286875,-0.034931496,0.0709926,-0.01232137,0.014398419,0.028239537,-0.031657595,0.068444036,-0.0653119,-0.09918639,-0.04269773,0.03881977,0.031155998,-0.012569812,0.0031620031,0.024629585,-0.008641224,-0.021653205,-0.061162412,0.03954596,-0.034044374,-0.0015100244,0.00079548714,0.054862387,0.026790794,-0.006837565,0.033527695,-0.047669638,-0.012711421,-0.02627126,0.048755135,-0.026933337,-0.022415338,-0.016880173,0.020587984,0.07649046,0.027322605,0.08129147,-0.006574237,0.02791229,-0.035326682,0.033093184,-0.024564743,-0.0064151892
00bc7defa16eb3171966a8fb0e740750,-0.023661377,0.011034825,-0.12886631,0.08189693,0.070911765,0.08798263,-0.08660704,-0.009260289,-0.042808328,0.030405667,-0.044195287,0.15545316,-0.0027445434,-0.080174915,-0.0077458853,-0.017581888,-0.015842829,-0.0005041375,-0.08338571,0.027789151,-0.0976206,0.0013604077,0.013690923,-0.06742211,0.0040738466,-0.042873755,0.07883141,-0.10711539,0.04903833,-0.039561477,-0.0068774475,0.005463144,-0.09254342,-0.063868016,-0.041072547,0.018864963,-0.018403437,-0.036688767,-0.010280456,-0.012425424,-0.04990645,0.00991716,0.05951033,0.024963368,-0.060961615,-0.008190027,0.02901776,0.023434002,0.0626149,-0.07862797,0.012586702,-0.08129991,-0.1340149,-0.0029228865,-0.022920858,0.040357757,0.042319473,0.054281384,0.0254841,0.010638154,-0.076916754,0.093704075,0.030714665,-0.036516678,0.008705695,0.0820413,0.07195861,0.04701843,0.052566066,-0.00895013,-0.008400011,-0.12721655,-0.10563841,-0.116799235,-0.059988264,0.039043073,-0.048288785,-0.10068663,0.069295,-0.05683828,0.08111724,0.07617633,-0.10157351,-0.045896977,0.027254695,0.051546976,0.037112344,-0.03586226,0.062304154,-0.008538744,0.020493906,0.068825245,-0.07220055,-0.16031696,-0.13435824,0.10050249,-0.019528545,-0.07502668,-0.009808353,-0.06627966,-0.06974312,-0.011485068,0.035334095,0.045980938,-0.017812263,0.04529178,-0.022032138,0.06781087,0.07246453,0.028192867,0.04240273,-0.04668369,-0.07286154,-0.069163285,-0.006372541,-0.081591375,-0.029325372,-0.022820145,0.10127651,0.018774811,0.09302289,0.036982436,-0.034442455,0.106134534,-0.07818482,0.026250074,-0.08489437,0.0048329
00c7fd6908fc5a04ab47adc5c7829ca7,-0.01538673,0.040243957,-0.10661745,0.082105495,0.11266296,0.09660248,-0.0915433,-0.0140055595,0.0045052455,0.028440645,-0.04374568,0.20222004,0.0065195705,-0.124249406,-0.025935033,-0.00041248446,-0.04229776,-0.006209946,-0.07093628,0.027667254,-0.11370028,0.031902075,0.008759705,-0.09235011,-0.08673531,-0.084633425,0.08766498,-0.08338792,0.029109307,0.0022985293,-0.06781697,-0.0152023975,-0.066647895,-0.07242214,-0.02434544,-0.04099091,-0.01128134,-0.047033444,0.0014310334,0.0071347714,-0.004293652,-0.014295074,0.11366504,0.058382045,-0.11490571,0.013749,-3.4521858e-05,0.051735234,0.046757553,-0.05755516,-0.0006189488,-0.07804544,-0.14086235,0.021562539,-0.0061288397,0.049809042,0.07214862,0.10088322,0.068533204,0.00916446,-0.05705629,0.11299744,0.02155784,0.009852236,0.006193238,0.07314644,0.03263666,0.06649957,0.06873961,-0.0010473263,0.005126605,-0.09076864,-0.12768185,-0.13837041,-0.05086812,0.002239888,-0.02341934,-0.08520874,0.10817503,-0.101331316,0.090576366,0.04706857,-0.12096175,-0.089122005,0.013525684,0.057651564,0.03024434,-0.0028633869,0.030967053,0.0039598867,0.010726636,0.082210936,-0.058902826,-0.11948676,-0.1584004,0.1260198,-0.049303588,-0.072858796,-0.042509597,-0.09173773,-0.09539076,0.009252447,0.022325113,0.091628775,0.05032565,0.104240395,-0.019979373,0.12384819,0.061181635,0.0070189983,0.029522235,-0.0724518,-0.091096826,-0.04113671,-0.028819587,-0.09296457,-0.035170563,-0.035223812,0.13944723,-0.02633188,0.033143762,0.04383086,0.016011601,0.14258419,-0.08675198,0.044349257,-0.0817726,-0.020241411
00d50962dce0b43d78a3a5e830255150,-0.043519117,0.0076221237,-0.09920827,0.089475006,0.078954324,0.05008224,-0.10682487,-0.0266608,-0.048129268,0.011928979,-0.037926756,0.1179087,-0.022596039,-0.058588248,-0.0010027869,-0.067930065,-0.015316163,0.011281148,-0.08772148,0.0151153,-0.10343847,-0.0029632403,-0.0003844162,0.0056315833,-0.016179932,-0.061877456,0.014084562,-0.08991378,0.070223644,-0.07618443,-0.021987556,0.0058632665,-0.04769359,-0.04895859,-0.020196347,0.015969943,0.0056618107,-0.045050535,-0.021069353,-0.012767877,-0.02352486,-0.014156473,0.066167474,0.018607337,-0.05192722,-0.022574736,0.026736654,0.018338202,0.044389606,-0.072530776,0.014687309,-0.057823677,-0.10723379,-0.025913881,0.0065516382,0.087986305,-0.0036247661,0.046258897,-0.006841539,0.048977043,-0.046603404,0.08622905,0.024265472,-0.03397601,0.010842031,0.04166851,0.06580559,0.03336363,0.031955864,-0.028749423,-0.053444475,-0.08497867,-0.10001211,-0.08506375,-0.04369386,0.0017024312,-0.024014274,-0.100915246,0.061141845,-0.037726253,0.086095795,0.07221579,-0.06849044,-0.021683015,0.047544926,0.021175388,0.038535494,-0.033678617,0.07671923,0.024415372,0.0075803935,0.046984218,-0.06608757,-0.1307812,-0.08859279,0.058030892,-0.008722642,-0.060073014,0.02517997,-0.04907267,-0.033460066,-0.01156513,0.029206775,0.04860954,-0.037993997,0.032847002,-0.024755975,0.056747966,0.086751886,0.007196039,0.02345656,-0.038122803,-0.049770262,-0.065055266,0.0163222,-0.071542755,-0.051566765,-0.024668703,0.05680976,0.017338421,0.05603005,0.047545444,-0.033116218,0.07555039,-0.093302935,0.0066753877,-0.064756475,0.0025202893
00f83a459e206283925ff0c2ac976d23,-0.004410468,0.03553504,-0.049041107,0.030649593,0.06619609,0.02109398,-0.07141432,-0.018492563,0.02140329,0.018293563,-0.03449335,0.09460998,0.0006600481,-0.07954698,0.023392655,-0.024303103,-0.03675474,-0.024230061,-0.057379626,0.01736725,-0.04847259,0.02624908,0.015322056,-0.030662337,-0.065980695,-0.056996062,-0.0037550724,-0.021520738,0.035779927,-0.00027177887,-0.060311392,-0.028433466,0.014979318,-0.027967047,0.02150728,-0.020955967,0.030250754,-0.034207474,-0.03814387,-0.010556744,0.007248291,-0.020490019,0.06230238,0.055385385,-0.06752317,0.012673885,0.027349887,0.016741809,0.01687047,0.003579748,0.010634596,-0.05800285,-0.030591998,0.029004985,-0.00039130557,0.07024926,-0.018361194,0.050126653,0.016968384,-0.0012426407,-0.050874602,0.028344672,-0.006223081,0.0029842514,0.001095466,0.027291166,-0.0060382746,-0.008658176,0.011996073,-0.040125225,0.019724786,0.004425289,-0.060721625,-0.03622536,0.02479146,-0.01931737,0.037836336,-0.04492463,0.065337114,-0.07837849,0.07007914,0.033517137,-0.026379982,-0.03475195,-0.0012913775,0.014224722,0.014594955,-0.0030489906,0.011286325,0.047988098,0.03820701,0.014891889,-0.0155475745,-0.052196518,-0.05794721,0.013077538,-0.033631414,-0.035319842,-0.011700612,-0.029830435,-0.023527734,-0.01667992,0.018596558,0.03146159,0.027953388,0.030804083,0.0063843033,0.049609777,0.025195306,-0.038353823,0.027567625,-0.058240563,-0.036996372,-0.015678851,-0.004306799,-0.017397666,-0.008400678,-0.024613751,0.062041696,-0.026490927,-0.046220716,0.055988703,-0.0088563645,0.03807545,-0.014784224,0.01374663,0.013370362,-0.030965306
014cd58f9fe4febcfc159ca9b2253c65,-0.03120415,-0.021681078,-0.12190766,0.10307952,0.078988686,0.028543234,-0.08686544,-0.042839617,-0.0731656,0.049483232,-0.038818836,0.1494958,-0.025313841,-0.053505976,-0.032589007,-0.02644446,-0.025299603,0.037985887,-0.09367034,-0.019153785,-0.08255833,0.031227544,-0.0062302933,-0.022165524,-0.004175455,-0.058691677,0.04339659,-0.09698099,0.03627126,-0.035749275,0.00041006584,0.030090401,-0.08427142,-0.068910696,-0.007027385,-0.0015597511,-0.007954429,-0.042886574,-0.013751872,0.004328392,-0.026914282,-0.023567688,0.06575213,0.007575704,-0.061281517,-0.029543081,0.015039825,0.023036206,0.04299086,-0.07271976,-0.008139618,-0.048723124,-0.14732167,-0.022446537,-0.012741032,0.057241395,0.03452843,0.06287033,0.016307183,0.010679014,-0.05864256,0.105245195,0.05145349,-0.0067840335,0.020029312,0.042971816,0.054214504,0.04460868,0.034154717,-0.030925576,-0.032998126,-0.08027275,-0.114193365,-0.122804336,-0.0756495,0.021887789,-0.04816858,-0.099987805,0.07895192,-0.038538802,0.10978775,0.058879014,-0.11615923,-0.039645717,0.052465092,0.0324268,0.056646053,-0.028373538,0.041311566,-0.0054309154,-0.019671636,0.089740634,-0.08710715,-0.14272794,-0.13542102,0.11335487,-0.008595375,-0.058195863,-0.006164987,-0.049435075,-0.07731717,-0.008949732,-0.0150136,0.05955967,-0.016118947,0.049788374,-0.0141000785,0.08617839,0.07154087,0.03000962,0.025380496,-0.064111754,-0.06859077,-0.06426957,0.02391738,-0.07422095,-0.04017022,-0.030572955,0.07740555,0.03245964,0.0806978,0.061015755,-0.0044417484,0.10287454,-0.083991244,0.02953253,-0.10101454,0.015986923
